Date,Close
2020-02-01,9371.39856944443
2020-02-02,9375.7393611111
2020-02-03,9329.290236111121
2020-02-04,9202.141208333333
2020-02-05,9400.966312500015
2020-02-06,9687.489340277789
2020-02-07,9775.785979166689
2020-02-08,9812.206222222228
2020-02-09,10079.684736111127
2020-02-10,9920.90227777778
2020-02-11,9956.391687500029
2020-02-12,10342.78187499999
2020-02-13,10284.806888888874
2020-02-14,10260.13227083332
2020-02-15,10143.196673611104
2020-02-16,9903.582215277773
2020-02-17,9718.714847222222
2020-02-18,9844.985881944454
2020-02-19,10098.323409722212
2020-02-20,9581.628520833327
2020-02-21,9688.95222222222
2020-02-22,9659.6231111111
2020-02-23,9868.751423611111
2020-02-24,9734.371027777788
2020-02-25,9489.20704166668
2020-02-26,9032.84789583332
2020-02-27,8795.39149305555
2020-02-28,8697.951965277776
2020-02-29,8685.841861111108
2020-03-01,8557.454770833341
2020-03-02,8746.59254166666
2020-03-03,8790.04864583333
2020-03-04,8760.354104166674
2020-03-05,9019.083923611115
2020-03-06,9097.337270833328
2020-03-07,9053.449645833334
2020-03-08,8569.642069444446
2020-03-09,7881.4305694444365
2020-03-10,7947.402562499996
2020-03-11,7849.347631944435
2020-03-12,6666.839097222216
2020-03-13,5295.343312500004
2020-03-14,5410.2791944444425
2020-03-15,5299.794006944451
2020-03-16,4987.489395833334
2020-03-17,5313.40199305555
2020-03-18,5286.608881944443
2020-03-19,5759.599625000005
2020-03-20,6360.770979166662
2020-03-21,6169.1668125000015
2020-03-22,6139.1389583333275
2020-03-23,6105.48469444444
2020-03-24,6652.993840277765
2020-03-25,6661.956784722209
2020-03-26,6671.944368055553
2020-03-27,6691.747249999984
2020-03-28,6227.599555555546
2020-03-29,6106.268381944442
2020-03-30,6272.458326388888
2020-03-31,6451.1242777777825
2020-04-01,6308.061152777775
2020-04-02,6723.470965277781
2020-04-03,6813.681118055557
2020-04-04,6772.340819444424
2020-04-05,6796.444437500008
2020-04-06,7090.139902777776
2020-04-07,7317.669166666658
2020-04-08,7301.731090277774
2020-04-09,7304.987888888873
2020-04-10,6976.29815277778
2020-04-11,6871.621069444445
2020-04-12,6947.525659722208
2020-04-13,6751.618111111113
2020-04-14,6884.495395833329
2020-04-15,6801.805451388881
2020-04-16,6912.162368055564
2020-04-17,7072.331944444444
2020-04-18,7152.629763888902
2020-04-19,7167.9315138889
2020-04-20,7052.486319444448
2020-04-21,6867.569777777796
2020-04-22,7000.42746527776
2020-04-23,7294.04055555556
2020-04-24,7521.618972222226
2020-04-25,7544.499277777866
2020-04-26,7600.132923611116
2020-04-27,7715.588263888885
2020-04-28,7730.824812500008
2020-04-29,8244.948270833338
2020-04-30,8894.666194444444
2020-05-01,8783.999208333322
2020-05-02,8872.73320833333
2020-05-03,8980.130395833332
2020-05-04,8772.431708333328
2020-05-05,8930.7622361111
2020-05-06,9162.092812500001
2020-05-07,9490.680451388876
2020-05-08,9925.163763888895
2020-05-09,9727.452937499998
2020-05-10,8687.415562500015
2020-05-11,8707.08496527779
2020-05-12,8773.929020833328
2020-05-13,9045.178930555547
2020-05-14,9576.713597222239
2020-05-15,9523.97022916667
2020-05-16,9403.123201388882
2020-05-17,9623.957902777765
2020-05-18,9721.685520833329
2020-05-19,9670.028812499997
2020-05-20,9672.188270833345
2020-05-21,9280.534645833337
2020-05-22,9125.238152777767
2020-05-23,9206.504152777794
2020-05-24,9123.222569444431
2020-05-25,8819.142625
2020-05-26,8859.394847222211
2020-05-27,9026.771423611106
2020-05-28,9319.706541666676
2020-05-29,9454.140111111115
2020-05-30,9506.563076388895
2020-05-31,9546.4582013889
2020-06-01,9583.923534722215
2020-06-02,9879.875916666668
2020-06-03,9551.3431388889
2020-06-04,9699.502652777765
2020-06-05,9742.399055555554
2020-06-06,9635.952604166652
2020-06-07,9621.038645833316
2020-06-08,9725.395034722222
2020-06-09,9712.132576388878
2020-06-10,9787.562111111092
2020-06-11,9643.82443055555
2020-06-12,9411.13565277779
2020-06-13,9426.568423611125
2020-06-14,9404.043270833314
2020-06-15,9244.604111111108
2020-06-16,9493.582555555562
2020-06-17,9442.995638888884
2020-06-18,9406.316999999992
2020-06-19,9326.508611111114
2020-06-20,9301.214298611114
2020-06-21,9348.792631944454
