landmark,x,y
234,101,102
93,95,487
132,111,572
58,148,652
172,205,714
136,273,800
150,338,790
149,387,818
176,446,844
148,504,865
152,566,1043
377,632,806
400,689,865
378,744,819
379,798,789
365,862,753
397,927,714
288,986,654
361,1024,573
323,1042,487
454,1035,101
280,784,151
362,628,6
133,508,6
50,351,150
